Depart,Destination,Drive-up,Vessel,timestamp
02:50 PM,Bremerton,69 Spaces,Chimacum,3/13/2026 2:49:33 PM
03:00 PM,Bainbridge Island,56 Spaces,Puyallup,3/13/2026 2:49:33 PM
03:50 PM,Bainbridge Island,197 Spaces,Wenatchee,3/13/2026 2:49:33 PM
04:15 PM,Bremerton,139 Spaces,Kaleetan,3/13/2026 2:49:33 PM
04:45 PM,Bainbridge Island,197 Spaces,Puyallup,3/13/2026 2:49:33 PM
05:30 PM,Bremerton,141 Spaces,Chimacum,3/13/2026 2:49:33 PM
05:45 PM,Bainbridge Island,197 Spaces,Wenatchee,3/13/2026 2:49:33 PM
06:30 PM,Bainbridge Island,197 Spaces,Puyallup,3/13/2026 2:49:33 PM
06:45 PM,Bremerton,139 Spaces,Kaleetan,3/13/2026 2:49:33 PM
07:30 PM,Bainbridge Island,197 Spaces,Wenatchee,3/13/2026 2:49:33 PM
07:50 PM,Bremerton,141 Spaces,Chimacum,3/13/2026 2:49:33 PM
08:15 PM,Bainbridge Island,197 Spaces,Puyallup,3/13/2026 2:49:33 PM
09:05 PM,Bremerton,139 Spaces,Kaleetan,3/13/2026 2:49:33 PM
09:20 PM,Bainbridge Island,197 Spaces,Wenatchee,3/13/2026 2:49:33 PM
10:05 PM,Bainbridge Island,197 Spaces,Puyallup,3/13/2026 2:49:33 PM
10:30 PM,Bremerton,141 Spaces,Chimacum,3/13/2026 2:49:33 PM
10:50 PM,Bainbridge Island,197 Spaces,Wenatchee,3/13/2026 2:49:33 PM
