Depart,Destination,Drive-up,Vessel,timestamp
03:15 PM,Kingston,168 Spaces,Puyallup,2/1/2026 2:43:13 PM
03:55 PM,Kingston,186 Spaces,Spokane,2/1/2026 2:43:13 PM
04:45 PM,Kingston,197 Spaces,Puyallup,2/1/2026 2:43:13 PM
05:25 PM,Kingston,186 Spaces,Spokane,2/1/2026 2:43:13 PM
06:15 PM,Kingston,197 Spaces,Puyallup,2/1/2026 2:43:13 PM
07:00 PM,Kingston,186 Spaces,Spokane,2/1/2026 2:43:13 PM
07:40 PM,Kingston,197 Spaces,Puyallup,2/1/2026 2:43:13 PM
08:30 PM,Kingston,186 Spaces,Spokane,2/1/2026 2:43:13 PM
09:05 PM,Kingston,197 Spaces,Puyallup,2/1/2026 2:43:13 PM
09:50 PM,Kingston,186 Spaces,Spokane,2/1/2026 2:43:13 PM
10:25 PM,Kingston,197 Spaces,Puyallup,2/1/2026 2:43:13 PM
11:10 PM,Kingston,186 Spaces,Spokane,2/1/2026 2:43:13 PM
11:45 PM,Kingston,197 Spaces,Puyallup,2/1/2026 2:43:13 PM
