Depart,Destination,Drive-up,Vessel,timestamp
10:20 AM,Kingston,47 Spaces,Puyallup,6/27/2026 10:17:24 AM
11:05 AM,Kingston,186 Spaces,Spokane,6/27/2026 10:17:24 AM
11:55 AM,Kingston,197 Spaces,Puyallup,6/27/2026 10:17:24 AM
12:40 PM,Kingston,186 Spaces,Spokane,6/27/2026 10:17:24 AM
01:35 PM,Kingston,197 Spaces,Puyallup,6/27/2026 10:17:24 AM
02:25 PM,Kingston,186 Spaces,Spokane,6/27/2026 10:17:24 AM
03:15 PM,Kingston,197 Spaces,Puyallup,6/27/2026 10:17:24 AM
03:55 PM,Kingston,186 Spaces,Spokane,6/27/2026 10:17:24 AM
04:45 PM,Kingston,197 Spaces,Puyallup,6/27/2026 10:17:24 AM
05:25 PM,Kingston,186 Spaces,Spokane,6/27/2026 10:17:24 AM
06:15 PM,Kingston,197 Spaces,Puyallup,6/27/2026 10:17:24 AM
07:00 PM,Kingston,186 Spaces,Spokane,6/27/2026 10:17:24 AM
07:40 PM,Kingston,197 Spaces,Puyallup,6/27/2026 10:17:24 AM
08:30 PM,Kingston,186 Spaces,Spokane,6/27/2026 10:17:24 AM
09:05 PM,Kingston,197 Spaces,Puyallup,6/27/2026 10:17:24 AM
09:50 PM,Kingston,186 Spaces,Spokane,6/27/2026 10:17:24 AM
10:25 PM,Kingston,197 Spaces,Puyallup,6/27/2026 10:17:24 AM
11:45 PM,Kingston,197 Spaces,Puyallup,6/27/2026 10:17:24 AM
