Depart,Destination,Drive-up,Vessel,timestamp
10:40 AM,Bainbridge Island,54 Spaces,Wenatchee,6/3/2026 10:37:46 AM
11:10 AM,Bremerton,119 Spaces,Kitsap,6/3/2026 10:37:46 AM
11:25 AM,Bainbridge Island,197 Spaces,Tacoma,6/3/2026 10:37:46 AM
12:20 PM,Bremerton,197 Spaces,Puyallup,6/3/2026 10:37:46 AM
12:25 PM,Bainbridge Island,197 Spaces,Wenatchee,6/3/2026 10:37:46 AM
01:10 PM,Bainbridge Island,197 Spaces,Tacoma,6/3/2026 10:37:46 AM
01:30 PM,Bremerton,120 Spaces,Kitsap,6/3/2026 10:37:46 AM
02:05 PM,Bainbridge Island,197 Spaces,Wenatchee,6/3/2026 10:37:46 AM
02:50 PM,Bremerton,197 Spaces,Puyallup,6/3/2026 10:37:46 AM
03:00 PM,Bainbridge Island,197 Spaces,Tacoma,6/3/2026 10:37:46 AM
03:50 PM,Bainbridge Island,197 Spaces,Wenatchee,6/3/2026 10:37:46 AM
04:15 PM,Bremerton,120 Spaces,Kitsap,6/3/2026 10:37:46 AM
04:45 PM,Bainbridge Island,197 Spaces,Tacoma,6/3/2026 10:37:46 AM
05:30 PM,Bremerton,197 Spaces,Puyallup,6/3/2026 10:37:46 AM
05:45 PM,Bainbridge Island,197 Spaces,Wenatchee,6/3/2026 10:37:46 AM
06:30 PM,Bainbridge Island,197 Spaces,Tacoma,6/3/2026 10:37:46 AM
06:45 PM,Bremerton,120 Spaces,Kitsap,6/3/2026 10:37:46 AM
07:30 PM,Bainbridge Island,197 Spaces,Wenatchee,6/3/2026 10:37:46 AM
07:50 PM,Bremerton,197 Spaces,Puyallup,6/3/2026 10:37:46 AM
08:15 PM,Bainbridge Island,197 Spaces,Tacoma,6/3/2026 10:37:46 AM
09:05 PM,Bremerton,120 Spaces,Kitsap,6/3/2026 10:37:46 AM
09:20 PM,Bainbridge Island,197 Spaces,Wenatchee,6/3/2026 10:37:46 AM
10:05 PM,Bainbridge Island,197 Spaces,Tacoma,6/3/2026 10:37:46 AM
10:30 PM,Bremerton,197 Spaces,Puyallup,6/3/2026 10:37:46 AM
10:50 PM,Bainbridge Island,197 Spaces,Wenatchee,6/3/2026 10:37:46 AM
