Depart,Destination,Drive-up,Vessel,timestamp
12:45 PM,Edmonds,78 Spaces,Spokane,3/13/2026 12:41:58 PM
01:30 PM,Edmonds,186 Spaces,Walla Walla,3/13/2026 12:41:58 PM
02:30 PM,Edmonds,186 Spaces,Spokane,3/13/2026 12:41:58 PM
03:10 PM,Edmonds,186 Spaces,Walla Walla,3/13/2026 12:41:58 PM
04:00 PM,Edmonds,186 Spaces,Spokane,3/13/2026 12:41:58 PM
04:40 PM,Edmonds,186 Spaces,Walla Walla,3/13/2026 12:41:58 PM
05:30 PM,Edmonds,186 Spaces,Spokane,3/13/2026 12:41:58 PM
06:10 PM,Edmonds,186 Spaces,Walla Walla,3/13/2026 12:41:58 PM
07:00 PM,Edmonds,186 Spaces,Spokane,3/13/2026 12:41:58 PM
07:45 PM,Edmonds,186 Spaces,Walla Walla,3/13/2026 12:41:58 PM
08:20 PM,Edmonds,186 Spaces,Spokane,3/13/2026 12:41:58 PM
09:10 PM,Edmonds,186 Spaces,Walla Walla,3/13/2026 12:41:58 PM
09:40 PM,Edmonds,186 Spaces,Spokane,3/13/2026 12:41:58 PM
10:30 PM,Edmonds,186 Spaces,Walla Walla,3/13/2026 12:41:58 PM
11:10 PM,Edmonds,186 Spaces,Spokane,3/13/2026 12:41:58 PM
