Depart,Destination,Drive-up,Vessel,timestamp
11:35 AM,Seattle,128 Spaces,Wenatchee,5/24/2026 11:11:24 AM
12:20 PM,Seattle,197 Spaces,Tacoma,5/24/2026 11:11:24 AM
01:20 PM,Seattle,197 Spaces,Wenatchee,5/24/2026 11:11:24 AM
02:10 PM,Seattle,197 Spaces,Tacoma,5/24/2026 11:11:24 AM
03:00 PM,Seattle,197 Spaces,Wenatchee,5/24/2026 11:11:24 AM
03:55 PM,Seattle,197 Spaces,Tacoma,5/24/2026 11:11:24 AM
04:40 PM,Seattle,197 Spaces,Wenatchee,5/24/2026 11:11:24 AM
05:35 PM,Seattle,197 Spaces,Tacoma,5/24/2026 11:11:24 AM
06:30 PM,Seattle,197 Spaces,Wenatchee,5/24/2026 11:11:24 AM
07:15 PM,Seattle,197 Spaces,Tacoma,5/24/2026 11:11:24 AM
08:10 PM,Seattle,197 Spaces,Wenatchee,5/24/2026 11:11:24 AM
08:55 PM,Seattle,197 Spaces,Tacoma,5/24/2026 11:11:24 AM
09:45 PM,Seattle,197 Spaces,Wenatchee,5/24/2026 11:11:24 AM
10:30 PM,Seattle,197 Spaces,Tacoma,5/24/2026 11:11:24 AM
