Depart,Destination,Drive-up,Vessel,timestamp
05:45 PM,Bainbridge Island,0 Spaces,Kaleetan,6/4/2025 5:45:04 PM
06:30 PM,Bainbridge Island,137 Spaces,Tacoma,6/4/2025 5:45:04 PM
07:30 PM,Bainbridge Island,139 Spaces,Kaleetan,6/4/2025 5:45:04 PM
07:50 PM,Bremerton,186 Spaces,Walla Walla,6/4/2025 5:45:04 PM
08:15 PM,Bainbridge Island,197 Spaces,Tacoma,6/4/2025 5:45:04 PM
09:20 PM,Bainbridge Island,139 Spaces,Kaleetan,6/4/2025 5:45:04 PM
10:05 PM,Bainbridge Island,197 Spaces,Tacoma,6/4/2025 5:45:04 PM
10:30 PM,Bremerton,186 Spaces,Walla Walla,6/4/2025 5:45:04 PM
10:50 PM,Bainbridge Island,139 Spaces,Kaleetan,6/4/2025 5:45:04 PM
12:15 AM,Bainbridge Island,139 Spaces,Kaleetan,6/4/2025 5:45:04 PM
12:50 AM,Bremerton,186 Spaces,Walla Walla,6/4/2025 5:45:04 PM
01:35 AM,Bainbridge Island,139 Spaces,Kaleetan,6/4/2025 5:45:04 PM
