Depart,Destination,Drive-up,Vessel,timestamp
11:25 AM,Bainbridge Island,25 Spaces,Tacoma,6/6/2026 11:20:00 AM
12:20 PM,Bremerton,194 Spaces,Puyallup,6/6/2026 11:20:00 AM
12:30 PM,Bainbridge Island,197 Spaces,Wenatchee,6/6/2026 11:20:00 AM
01:15 PM,Bainbridge Island,197 Spaces,Tacoma,6/6/2026 11:20:00 AM
01:30 PM,Bremerton,120 Spaces,Kitsap,6/6/2026 11:20:00 AM
02:10 PM,Bainbridge Island,197 Spaces,Wenatchee,6/6/2026 11:20:00 AM
02:50 PM,Bremerton,197 Spaces,Puyallup,6/6/2026 11:20:00 AM
03:05 PM,Bainbridge Island,197 Spaces,Tacoma,6/6/2026 11:20:00 AM
03:50 PM,Bainbridge Island,197 Spaces,Wenatchee,6/6/2026 11:20:00 AM
04:15 PM,Bremerton,120 Spaces,Kitsap,6/6/2026 11:20:00 AM
04:45 PM,Bainbridge Island,197 Spaces,Tacoma,6/6/2026 11:20:00 AM
05:30 PM,Bremerton,197 Spaces,Puyallup,6/6/2026 11:20:00 AM
05:35 PM,Bainbridge Island,197 Spaces,Wenatchee,6/6/2026 11:20:00 AM
06:25 PM,Bainbridge Island,197 Spaces,Tacoma,6/6/2026 11:20:00 AM
06:45 PM,Bremerton,120 Spaces,Kitsap,6/6/2026 11:20:00 AM
07:20 PM,Bainbridge Island,197 Spaces,Wenatchee,6/6/2026 11:20:00 AM
07:50 PM,Bremerton,197 Spaces,Puyallup,6/6/2026 11:20:00 AM
08:10 PM,Bainbridge Island,197 Spaces,Tacoma,6/6/2026 11:20:00 AM
09:00 PM,Bainbridge Island,197 Spaces,Wenatchee,6/6/2026 11:20:00 AM
09:05 PM,Bremerton,120 Spaces,Kitsap,6/6/2026 11:20:00 AM
09:45 PM,Bainbridge Island,197 Spaces,Tacoma,6/6/2026 11:20:00 AM
10:30 PM,Bremerton,197 Spaces,Puyallup,6/6/2026 11:20:00 AM
10:40 PM,Bainbridge Island,197 Spaces,Wenatchee,6/6/2026 11:20:00 AM
11:15 PM,Bainbridge Island,197 Spaces,Tacoma,6/6/2026 11:20:00 AM
