Depart,Destination,Drive-up,Vessel,timestamp
01:30 PM,Edmonds,54 Spaces,Spokane,2/20/2026 1:29:13 PM
02:30 PM,Edmonds,197 Spaces,Puyallup,2/20/2026 1:29:13 PM
03:10 PM,Edmonds,186 Spaces,Spokane,2/20/2026 1:29:13 PM
04:00 PM,Edmonds,197 Spaces,Puyallup,2/20/2026 1:29:13 PM
04:40 PM,Edmonds,186 Spaces,Spokane,2/20/2026 1:29:13 PM
05:30 PM,Edmonds,197 Spaces,Puyallup,2/20/2026 1:29:13 PM
06:10 PM,Edmonds,186 Spaces,Spokane,2/20/2026 1:29:13 PM
07:00 PM,Edmonds,197 Spaces,Puyallup,2/20/2026 1:29:13 PM
07:45 PM,Edmonds,186 Spaces,Spokane,2/20/2026 1:29:13 PM
08:20 PM,Edmonds,197 Spaces,Puyallup,2/20/2026 1:29:13 PM
09:10 PM,Edmonds,186 Spaces,Spokane,2/20/2026 1:29:13 PM
09:40 PM,Edmonds,197 Spaces,Puyallup,2/20/2026 1:29:13 PM
10:30 PM,Edmonds,186 Spaces,Spokane,2/20/2026 1:29:13 PM
11:10 PM,Edmonds,197 Spaces,Puyallup,2/20/2026 1:29:13 PM
