Depart,Destination,Drive-up,Vessel,timestamp
03:55 PM,Kingston,28 Spaces,Walla Walla,9/17/2026 3:58:15 PM
04:45 PM,Kingston,186 Spaces,Spokane,9/17/2026 3:58:15 PM
05:25 PM,Kingston,186 Spaces,Walla Walla,9/17/2026 3:58:15 PM
06:15 PM,Kingston,186 Spaces,Spokane,9/17/2026 3:58:15 PM
07:00 PM,Kingston,186 Spaces,Walla Walla,9/17/2026 3:58:15 PM
07:40 PM,Kingston,186 Spaces,Spokane,9/17/2026 3:58:15 PM
08:30 PM,Kingston,186 Spaces,Walla Walla,9/17/2026 3:58:15 PM
09:05 PM,Kingston,186 Spaces,Spokane,9/17/2026 3:58:15 PM
10:25 PM,Kingston,186 Spaces,Spokane,9/17/2026 3:58:15 PM
11:45 PM,Kingston,186 Spaces,Spokane,9/17/2026 3:58:15 PM
