Depart,Destination,Drive-up,Vessel,timestamp
12:40 PM,Kingston,181 Spaces,Spokane,6/3/2026 12:01:39 PM
01:35 PM,Kingston,186 Spaces,Walla Walla,6/3/2026 12:01:39 PM
02:25 PM,Kingston,186 Spaces,Spokane,6/3/2026 12:01:39 PM
03:15 PM,Kingston,186 Spaces,Walla Walla,6/3/2026 12:01:39 PM
03:55 PM,Kingston,186 Spaces,Spokane,6/3/2026 12:01:39 PM
04:45 PM,Kingston,186 Spaces,Walla Walla,6/3/2026 12:01:39 PM
05:25 PM,Kingston,186 Spaces,Spokane,6/3/2026 12:01:39 PM
06:15 PM,Kingston,186 Spaces,Walla Walla,6/3/2026 12:01:39 PM
07:00 PM,Kingston,186 Spaces,Spokane,6/3/2026 12:01:39 PM
07:40 PM,Kingston,186 Spaces,Walla Walla,6/3/2026 12:01:39 PM
08:30 PM,Kingston,186 Spaces,Spokane,6/3/2026 12:01:39 PM
09:05 PM,Kingston,186 Spaces,Walla Walla,6/3/2026 12:01:39 PM
10:25 PM,Kingston,186 Spaces,Walla Walla,6/3/2026 12:01:39 PM
11:45 PM,Kingston,186 Spaces,Walla Walla,6/3/2026 12:01:39 PM
