Depart,Destination,Drive-up,Vessel,timestamp
06:05 AM,Bremerton,137 Spaces,Kaleetan,4/15/2026 5:43:36 AM
06:10 AM,Bainbridge Island,194 Spaces,Puyallup,4/15/2026 5:43:36 AM
07:05 AM,Bainbridge Island,197 Spaces,Tacoma,4/15/2026 5:43:36 AM
07:35 AM,Bremerton,141 Spaces,Chimacum,4/15/2026 5:43:36 AM
07:55 AM,Bainbridge Island,197 Spaces,Puyallup,4/15/2026 5:43:36 AM
08:35 AM,Bremerton,139 Spaces,Kaleetan,4/15/2026 5:43:36 AM
08:45 AM,Bainbridge Island,197 Spaces,Tacoma,4/15/2026 5:43:36 AM
09:35 AM,Bainbridge Island,197 Spaces,Puyallup,4/15/2026 5:43:36 AM
10:00 AM,Bremerton,141 Spaces,Chimacum,4/15/2026 5:43:36 AM
10:40 AM,Bainbridge Island,197 Spaces,Tacoma,4/15/2026 5:43:36 AM
11:10 AM,Bremerton,139 Spaces,Kaleetan,4/15/2026 5:43:36 AM
11:25 AM,Bainbridge Island,197 Spaces,Puyallup,4/15/2026 5:43:36 AM
12:20 PM,Bremerton,141 Spaces,Chimacum,4/15/2026 5:43:36 AM
12:25 PM,Bainbridge Island,197 Spaces,Tacoma,4/15/2026 5:43:36 AM
01:10 PM,Bainbridge Island,197 Spaces,Puyallup,4/15/2026 5:43:36 AM
01:30 PM,Bremerton,139 Spaces,Kaleetan,4/15/2026 5:43:36 AM
02:05 PM,Bainbridge Island,197 Spaces,Tacoma,4/15/2026 5:43:36 AM
02:50 PM,Bremerton,141 Spaces,Chimacum,4/15/2026 5:43:36 AM
03:00 PM,Bainbridge Island,197 Spaces,Puyallup,4/15/2026 5:43:36 AM
03:50 PM,Bainbridge Island,197 Spaces,Tacoma,4/15/2026 5:43:36 AM
04:15 PM,Bremerton,139 Spaces,Kaleetan,4/15/2026 5:43:36 AM
04:45 PM,Bainbridge Island,197 Spaces,Puyallup,4/15/2026 5:43:36 AM
05:30 PM,Bremerton,141 Spaces,Chimacum,4/15/2026 5:43:36 AM
05:45 PM,Bainbridge Island,197 Spaces,Tacoma,4/15/2026 5:43:36 AM
06:30 PM,Bainbridge Island,197 Spaces,Puyallup,4/15/2026 5:43:36 AM
06:45 PM,Bremerton,139 Spaces,Kaleetan,4/15/2026 5:43:36 AM
07:30 PM,Bainbridge Island,197 Spaces,Tacoma,4/15/2026 5:43:36 AM
07:50 PM,Bremerton,141 Spaces,Chimacum,4/15/2026 5:43:36 AM
08:15 PM,Bainbridge Island,197 Spaces,Puyallup,4/15/2026 5:43:36 AM
09:05 PM,Bremerton,139 Spaces,Kaleetan,4/15/2026 5:43:36 AM
09:20 PM,Bainbridge Island,197 Spaces,Tacoma,4/15/2026 5:43:36 AM
10:05 PM,Bainbridge Island,197 Spaces,Puyallup,4/15/2026 5:43:36 AM
10:30 PM,Bremerton,141 Spaces,Chimacum,4/15/2026 5:43:36 AM
10:50 PM,Bainbridge Island,197 Spaces,Tacoma,4/15/2026 5:43:36 AM
