Depart,Destination,Drive-up,Vessel,timestamp
04:45 PM,Bainbridge Island,28 Spaces,Tacoma,6/4/2026 4:41:50 PM
05:30 PM,Bremerton,187 Spaces,Puyallup,6/4/2026 4:41:50 PM
05:45 PM,Bainbridge Island,197 Spaces,Wenatchee,6/4/2026 4:41:50 PM
06:30 PM,Bainbridge Island,197 Spaces,Tacoma,6/4/2026 4:41:50 PM
06:45 PM,Bremerton,120 Spaces,Kitsap,6/4/2026 4:41:50 PM
07:30 PM,Bainbridge Island,197 Spaces,Wenatchee,6/4/2026 4:41:50 PM
07:50 PM,Bremerton,197 Spaces,Puyallup,6/4/2026 4:41:50 PM
08:15 PM,Bainbridge Island,197 Spaces,Tacoma,6/4/2026 4:41:50 PM
09:05 PM,Bremerton,120 Spaces,Kitsap,6/4/2026 4:41:50 PM
09:20 PM,Bainbridge Island,197 Spaces,Wenatchee,6/4/2026 4:41:50 PM
10:05 PM,Bainbridge Island,197 Spaces,Tacoma,6/4/2026 4:41:50 PM
10:30 PM,Bremerton,197 Spaces,Puyallup,6/4/2026 4:41:50 PM
10:50 PM,Bainbridge Island,197 Spaces,Wenatchee,6/4/2026 4:41:50 PM
