Depart,Destination,Drive-up,Vessel,timestamp
01:30 PM,Edmonds,91 Spaces,Spokane,4/11/2026 1:03:59 PM
02:30 PM,Edmonds,186 Spaces,Walla Walla,4/11/2026 1:03:59 PM
03:10 PM,Edmonds,186 Spaces,Spokane,4/11/2026 1:03:59 PM
04:00 PM,Edmonds,186 Spaces,Walla Walla,4/11/2026 1:03:59 PM
04:40 PM,Edmonds,186 Spaces,Spokane,4/11/2026 1:03:59 PM
05:30 PM,Edmonds,186 Spaces,Walla Walla,4/11/2026 1:03:59 PM
06:10 PM,Edmonds,186 Spaces,Spokane,4/11/2026 1:03:59 PM
07:00 PM,Edmonds,186 Spaces,Walla Walla,4/11/2026 1:03:59 PM
07:45 PM,Edmonds,186 Spaces,Spokane,4/11/2026 1:03:59 PM
08:20 PM,Edmonds,186 Spaces,Walla Walla,4/11/2026 1:03:59 PM
09:10 PM,Edmonds,186 Spaces,Spokane,4/11/2026 1:03:59 PM
09:40 PM,Edmonds,186 Spaces,Walla Walla,4/11/2026 1:03:59 PM
11:10 PM,Edmonds,186 Spaces,Walla Walla,4/11/2026 1:03:59 PM
