Depart,Destination,Drive-up,Vessel,timestamp
07:35 AM,Bremerton,94 Spaces,Kaleetan,3/27/2026 7:30:21 AM
07:55 AM,Bainbridge Island,175 Spaces,Puyallup,3/27/2026 7:30:21 AM
08:45 AM,Bainbridge Island,197 Spaces,Wenatchee,3/27/2026 7:30:21 AM
09:00 AM,Bremerton,62 Spaces,Salish,3/27/2026 7:30:21 AM
09:35 AM,Bainbridge Island,197 Spaces,Puyallup,3/27/2026 7:30:21 AM
10:00 AM,Bremerton,139 Spaces,Kaleetan,3/27/2026 7:30:21 AM
10:40 AM,Bainbridge Island,197 Spaces,Wenatchee,3/27/2026 7:30:21 AM
11:25 AM,Bainbridge Island,197 Spaces,Puyallup,3/27/2026 7:30:21 AM
12:20 PM,Bremerton,139 Spaces,Kaleetan,3/27/2026 7:30:21 AM
12:25 PM,Bainbridge Island,197 Spaces,Wenatchee,3/27/2026 7:30:21 AM
01:10 PM,Bainbridge Island,197 Spaces,Puyallup,3/27/2026 7:30:21 AM
01:10 PM,Bremerton,62 Spaces,Salish,3/27/2026 7:30:21 AM
02:05 PM,Bainbridge Island,197 Spaces,Wenatchee,3/27/2026 7:30:21 AM
02:50 PM,Bremerton,139 Spaces,Kaleetan,3/27/2026 7:30:21 AM
03:00 PM,Bainbridge Island,197 Spaces,Puyallup,3/27/2026 7:30:21 AM
03:50 PM,Bainbridge Island,197 Spaces,Wenatchee,3/27/2026 7:30:21 AM
04:15 PM,Bremerton,62 Spaces,Salish,3/27/2026 7:30:21 AM
04:45 PM,Bainbridge Island,197 Spaces,Puyallup,3/27/2026 7:30:21 AM
05:30 PM,Bremerton,139 Spaces,Kaleetan,3/27/2026 7:30:21 AM
05:45 PM,Bainbridge Island,197 Spaces,Wenatchee,3/27/2026 7:30:21 AM
06:30 PM,Bainbridge Island,197 Spaces,Puyallup,3/27/2026 7:30:21 AM
07:30 PM,Bainbridge Island,197 Spaces,Wenatchee,3/27/2026 7:30:21 AM
07:50 PM,Bremerton,139 Spaces,Kaleetan,3/27/2026 7:30:21 AM
08:15 PM,Bainbridge Island,197 Spaces,Puyallup,3/27/2026 7:30:21 AM
08:50 PM,Bremerton,62 Spaces,Salish,3/27/2026 7:30:21 AM
09:20 PM,Bainbridge Island,197 Spaces,Wenatchee,3/27/2026 7:30:21 AM
10:05 PM,Bainbridge Island,197 Spaces,Puyallup,3/27/2026 7:30:21 AM
10:30 PM,Bremerton,139 Spaces,Kaleetan,3/27/2026 7:30:21 AM
10:50 PM,Bainbridge Island,197 Spaces,Wenatchee,3/27/2026 7:30:21 AM
