Depart,Destination,Drive-up,Vessel,timestamp
03:10 PM,Edmonds,47 Spaces,Spokane,4/4/2026 3:02:45 PM
04:00 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 3:02:45 PM
04:40 PM,Edmonds,186 Spaces,Spokane,4/4/2026 3:02:45 PM
05:30 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 3:02:45 PM
06:10 PM,Edmonds,186 Spaces,Spokane,4/4/2026 3:02:45 PM
07:00 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 3:02:45 PM
07:45 PM,Edmonds,186 Spaces,Spokane,4/4/2026 3:02:45 PM
08:20 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 3:02:45 PM
09:10 PM,Edmonds,186 Spaces,Spokane,4/4/2026 3:02:45 PM
09:40 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 3:02:45 PM
11:10 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 3:02:45 PM
