Depart,Destination,Drive-up,Vessel,timestamp
01:30 PM,Edmonds,133 Spaces,Walla Walla,3/18/2026 1:18:31 PM
02:30 PM,Edmonds,186 Spaces,Spokane,3/18/2026 1:18:31 PM
03:10 PM,Edmonds,186 Spaces,Walla Walla,3/18/2026 1:18:31 PM
04:00 PM,Edmonds,186 Spaces,Spokane,3/18/2026 1:18:31 PM
04:40 PM,Edmonds,186 Spaces,Walla Walla,3/18/2026 1:18:31 PM
05:30 PM,Edmonds,186 Spaces,Spokane,3/18/2026 1:18:31 PM
06:10 PM,Edmonds,186 Spaces,Walla Walla,3/18/2026 1:18:31 PM
07:00 PM,Edmonds,186 Spaces,Spokane,3/18/2026 1:18:31 PM
07:45 PM,Edmonds,186 Spaces,Walla Walla,3/18/2026 1:18:31 PM
08:20 PM,Edmonds,186 Spaces,Spokane,3/18/2026 1:18:31 PM
09:40 PM,Edmonds,186 Spaces,Spokane,3/18/2026 1:18:31 PM
11:10 PM,Edmonds,186 Spaces,Spokane,3/18/2026 1:18:31 PM
