Depart,Destination,Drive-up,Vessel,timestamp
01:35 PM,Kingston,0 Spaces,Puyallup,8/13/2026 1:24:52 PM
02:25 PM,Kingston,160 Spaces,Spokane,8/13/2026 1:24:52 PM
03:15 PM,Kingston,197 Spaces,Puyallup,8/13/2026 1:24:52 PM
03:55 PM,Kingston,186 Spaces,Spokane,8/13/2026 1:24:52 PM
04:45 PM,Kingston,197 Spaces,Puyallup,8/13/2026 1:24:52 PM
05:25 PM,Kingston,186 Spaces,Spokane,8/13/2026 1:24:52 PM
06:15 PM,Kingston,197 Spaces,Puyallup,8/13/2026 1:24:52 PM
07:00 PM,Kingston,186 Spaces,Spokane,8/13/2026 1:24:52 PM
07:40 PM,Kingston,197 Spaces,Puyallup,8/13/2026 1:24:52 PM
08:30 PM,Kingston,186 Spaces,Spokane,8/13/2026 1:24:52 PM
09:05 PM,Kingston,197 Spaces,Puyallup,8/13/2026 1:24:52 PM
10:25 PM,Kingston,197 Spaces,Puyallup,8/13/2026 1:24:52 PM
11:45 PM,Kingston,197 Spaces,Puyallup,8/13/2026 1:24:52 PM
