Depart,Destination,Drive-up,Vessel,timestamp
03:10 PM,Edmonds,77 Spaces,Spokane,6/4/2026 2:58:46 PM
04:00 PM,Edmonds,186 Spaces,Walla Walla,6/4/2026 2:58:46 PM
04:40 PM,Edmonds,186 Spaces,Spokane,6/4/2026 2:58:46 PM
05:30 PM,Edmonds,186 Spaces,Walla Walla,6/4/2026 2:58:46 PM
06:10 PM,Edmonds,186 Spaces,Spokane,6/4/2026 2:58:46 PM
07:00 PM,Edmonds,186 Spaces,Walla Walla,6/4/2026 2:58:46 PM
07:45 PM,Edmonds,186 Spaces,Spokane,6/4/2026 2:58:46 PM
08:20 PM,Edmonds,186 Spaces,Walla Walla,6/4/2026 2:58:46 PM
09:40 PM,Edmonds,186 Spaces,Walla Walla,6/4/2026 2:58:46 PM
11:10 PM,Edmonds,186 Spaces,Walla Walla,6/4/2026 2:58:46 PM
