Depart,Destination,Drive-up,Vessel,timestamp
04:00 PM,Edmonds,26 Spaces,Walla Walla,3/28/2026 3:55:40 PM
04:40 PM,Edmonds,186 Spaces,Spokane,3/28/2026 3:55:40 PM
05:30 PM,Edmonds,186 Spaces,Walla Walla,3/28/2026 3:55:40 PM
06:10 PM,Edmonds,186 Spaces,Spokane,3/28/2026 3:55:40 PM
07:00 PM,Edmonds,186 Spaces,Walla Walla,3/28/2026 3:55:40 PM
07:45 PM,Edmonds,186 Spaces,Spokane,3/28/2026 3:55:40 PM
08:20 PM,Edmonds,186 Spaces,Walla Walla,3/28/2026 3:55:40 PM
09:10 PM,Edmonds,186 Spaces,Spokane,3/28/2026 3:55:40 PM
09:40 PM,Edmonds,186 Spaces,Walla Walla,3/28/2026 3:55:40 PM
11:10 PM,Edmonds,186 Spaces,Walla Walla,3/28/2026 3:55:40 PM
