Depart,Destination,Drive-up,Vessel,timestamp
04:45 PM,Kingston,24 Spaces,Walla Walla,6/7/2026 4:48:35 PM
05:25 PM,Kingston,186 Spaces,Spokane,6/7/2026 4:48:35 PM
06:15 PM,Kingston,186 Spaces,Walla Walla,6/7/2026 4:48:35 PM
07:00 PM,Kingston,186 Spaces,Spokane,6/7/2026 4:48:35 PM
07:40 PM,Kingston,186 Spaces,Walla Walla,6/7/2026 4:48:35 PM
08:30 PM,Kingston,186 Spaces,Spokane,6/7/2026 4:48:35 PM
09:05 PM,Kingston,186 Spaces,Walla Walla,6/7/2026 4:48:35 PM
09:50 PM,Kingston,186 Spaces,Spokane,6/7/2026 4:48:35 PM
10:25 PM,Kingston,186 Spaces,Walla Walla,6/7/2026 4:48:35 PM
11:10 PM,Kingston,186 Spaces,Spokane,6/7/2026 4:48:35 PM
11:45 PM,Kingston,186 Spaces,Walla Walla,6/7/2026 4:48:35 PM
