Depart,Destination,Drive-up,Vessel,timestamp
01:30 PM,Edmonds,150 Spaces,Spokane,4/4/2026 12:54:37 PM
02:30 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 12:54:37 PM
03:10 PM,Edmonds,186 Spaces,Spokane,4/4/2026 12:54:37 PM
04:00 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 12:54:37 PM
04:40 PM,Edmonds,186 Spaces,Spokane,4/4/2026 12:54:37 PM
05:30 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 12:54:37 PM
06:10 PM,Edmonds,186 Spaces,Spokane,4/4/2026 12:54:37 PM
07:00 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 12:54:37 PM
07:45 PM,Edmonds,186 Spaces,Spokane,4/4/2026 12:54:37 PM
08:20 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 12:54:37 PM
09:10 PM,Edmonds,186 Spaces,Spokane,4/4/2026 12:54:37 PM
09:40 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 12:54:37 PM
11:10 PM,Edmonds,186 Spaces,Walla Walla,4/4/2026 12:54:37 PM
