Depart,Destination,Drive-up,Vessel,timestamp
11:55 AM,Kingston,58 Spaces,Walla Walla,4/1/2026 11:58:47 AM
12:40 PM,Kingston,186 Spaces,Spokane,4/1/2026 11:58:47 AM
01:35 PM,Kingston,186 Spaces,Walla Walla,4/1/2026 11:58:47 AM
02:25 PM,Kingston,186 Spaces,Spokane,4/1/2026 11:58:47 AM
03:15 PM,Kingston,186 Spaces,Walla Walla,4/1/2026 11:58:47 AM
03:55 PM,Kingston,186 Spaces,Spokane,4/1/2026 11:58:47 AM
04:45 PM,Kingston,186 Spaces,Walla Walla,4/1/2026 11:58:47 AM
05:25 PM,Kingston,186 Spaces,Spokane,4/1/2026 11:58:47 AM
06:15 PM,Kingston,186 Spaces,Walla Walla,4/1/2026 11:58:47 AM
07:00 PM,Kingston,186 Spaces,Spokane,4/1/2026 11:58:47 AM
07:40 PM,Kingston,186 Spaces,Walla Walla,4/1/2026 11:58:47 AM
08:30 PM,Kingston,186 Spaces,Spokane,4/1/2026 11:58:47 AM
09:05 PM,Kingston,186 Spaces,Walla Walla,4/1/2026 11:58:47 AM
10:25 PM,Kingston,186 Spaces,Walla Walla,4/1/2026 11:58:47 AM
11:45 PM,Kingston,186 Spaces,Walla Walla,4/1/2026 11:58:47 AM
