Depart,Destination,Drive-up,Vessel,timestamp
03:15 PM,Kingston,139 Spaces,Spokane,3/24/2026 2:42:21 PM
03:55 PM,Kingston,186 Spaces,Walla Walla,3/24/2026 2:42:21 PM
04:45 PM,Kingston,186 Spaces,Spokane,3/24/2026 2:42:21 PM
05:25 PM,Kingston,186 Spaces,Walla Walla,3/24/2026 2:42:21 PM
06:15 PM,Kingston,186 Spaces,Spokane,3/24/2026 2:42:21 PM
07:00 PM,Kingston,186 Spaces,Walla Walla,3/24/2026 2:42:21 PM
07:40 PM,Kingston,186 Spaces,Spokane,3/24/2026 2:42:21 PM
08:30 PM,Kingston,186 Spaces,Walla Walla,3/24/2026 2:42:21 PM
09:05 PM,Kingston,186 Spaces,Spokane,3/24/2026 2:42:21 PM
10:25 PM,Kingston,186 Spaces,Spokane,3/24/2026 2:42:21 PM
11:45 PM,Kingston,186 Spaces,Spokane,3/24/2026 2:42:21 PM
