Depart,Destination,Drive-up,Vessel,timestamp
04:15 PM,Bremerton,8 Spaces,Salish,3/30/2026 4:04:43 PM
04:45 PM,Bainbridge Island,170 Spaces,Tacoma,3/30/2026 4:04:43 PM
05:30 PM,Bremerton,139 Spaces,Kaleetan,3/30/2026 4:04:43 PM
05:45 PM,Bainbridge Island,197 Spaces,Puyallup,3/30/2026 4:04:43 PM
06:30 PM,Bainbridge Island,197 Spaces,Tacoma,3/30/2026 4:04:43 PM
07:30 PM,Bainbridge Island,197 Spaces,Puyallup,3/30/2026 4:04:43 PM
07:50 PM,Bremerton,139 Spaces,Kaleetan,3/30/2026 4:04:43 PM
08:15 PM,Bainbridge Island,197 Spaces,Tacoma,3/30/2026 4:04:43 PM
08:50 PM,Bremerton,62 Spaces,Salish,3/30/2026 4:04:43 PM
09:20 PM,Bainbridge Island,197 Spaces,Puyallup,3/30/2026 4:04:43 PM
10:05 PM,Bainbridge Island,197 Spaces,Tacoma,3/30/2026 4:04:43 PM
10:30 PM,Bremerton,139 Spaces,Kaleetan,3/30/2026 4:04:43 PM
10:50 PM,Bainbridge Island,197 Spaces,Puyallup,3/30/2026 4:04:43 PM
