Depart,Destination,Drive-up,Vessel,timestamp
06:30 PM,Bainbridge Island,178 Spaces,Puyallup,3/11/2026 5:55:01 PM
07:30 PM,Bainbridge Island,197 Spaces,Wenatchee,3/11/2026 5:55:01 PM
07:50 PM,Bremerton,135 Spaces,Chimacum,3/11/2026 5:55:01 PM
08:15 PM,Bainbridge Island,197 Spaces,Puyallup,3/11/2026 5:55:01 PM
09:20 PM,Bainbridge Island,197 Spaces,Wenatchee,3/11/2026 5:55:01 PM
10:05 PM,Bainbridge Island,197 Spaces,Puyallup,3/11/2026 5:55:01 PM
10:30 PM,Bremerton,141 Spaces,Chimacum,3/11/2026 5:55:01 PM
10:50 PM,Bainbridge Island,197 Spaces,Wenatchee,3/11/2026 5:55:01 PM
12:15 AM,Bainbridge Island,197 Spaces,Wenatchee,3/11/2026 5:55:01 PM
12:50 AM,Bremerton,141 Spaces,Chimacum,3/11/2026 5:55:01 PM
01:35 AM,Bainbridge Island,197 Spaces,Wenatchee,3/11/2026 5:55:01 PM
