Depart,Destination,Drive-up,Vessel,timestamp
01:30 PM,Edmonds,91 Spaces,Walla Walla,4/23/2026 1:18:39 PM
02:30 PM,Edmonds,186 Spaces,Spokane,4/23/2026 1:18:39 PM
03:10 PM,Edmonds,186 Spaces,Walla Walla,4/23/2026 1:18:39 PM
04:00 PM,Edmonds,186 Spaces,Spokane,4/23/2026 1:18:39 PM
04:40 PM,Edmonds,186 Spaces,Walla Walla,4/23/2026 1:18:39 PM
05:30 PM,Edmonds,186 Spaces,Spokane,4/23/2026 1:18:39 PM
06:10 PM,Edmonds,186 Spaces,Walla Walla,4/23/2026 1:18:39 PM
07:00 PM,Edmonds,186 Spaces,Spokane,4/23/2026 1:18:39 PM
07:45 PM,Edmonds,186 Spaces,Walla Walla,4/23/2026 1:18:39 PM
08:20 PM,Edmonds,186 Spaces,Spokane,4/23/2026 1:18:39 PM
09:40 PM,Edmonds,186 Spaces,Spokane,4/23/2026 1:18:39 PM
11:10 PM,Edmonds,186 Spaces,Spokane,4/23/2026 1:18:39 PM
