Depart,Destination,Drive-up,Vessel,timestamp
02:30 PM,Edmonds,0 Spaces,Puyallup,8/24/2026 2:31:22 PM
03:10 PM,Edmonds,181 Spaces,Spokane,8/24/2026 2:31:22 PM
04:00 PM,Edmonds,197 Spaces,Puyallup,8/24/2026 2:31:22 PM
04:40 PM,Edmonds,186 Spaces,Spokane,8/24/2026 2:31:22 PM
05:30 PM,Edmonds,197 Spaces,Puyallup,8/24/2026 2:31:22 PM
06:10 PM,Edmonds,186 Spaces,Spokane,8/24/2026 2:31:22 PM
07:00 PM,Edmonds,197 Spaces,Puyallup,8/24/2026 2:31:22 PM
07:45 PM,Edmonds,186 Spaces,Spokane,8/24/2026 2:31:22 PM
08:20 PM,Edmonds,197 Spaces,Puyallup,8/24/2026 2:31:22 PM
09:40 PM,Edmonds,197 Spaces,Puyallup,8/24/2026 2:31:22 PM
11:10 PM,Edmonds,197 Spaces,Puyallup,8/24/2026 2:31:22 PM
