Depart,Destination,Drive-up,Vessel,timestamp
01:30 PM,Bremerton,92 Spaces,Kaleetan,6/27/2026 1:23:05 PM
02:10 PM,Bainbridge Island,74 Spaces,Tacoma,6/27/2026 1:23:05 PM
02:50 PM,Bremerton,141 Spaces,Chimacum,6/27/2026 1:23:05 PM
03:05 PM,Bainbridge Island,197 Spaces,Wenatchee,6/27/2026 1:23:05 PM
03:50 PM,Bainbridge Island,197 Spaces,Tacoma,6/27/2026 1:23:05 PM
04:15 PM,Bremerton,139 Spaces,Kaleetan,6/27/2026 1:23:05 PM
04:45 PM,Bainbridge Island,197 Spaces,Wenatchee,6/27/2026 1:23:05 PM
05:30 PM,Bremerton,141 Spaces,Chimacum,6/27/2026 1:23:05 PM
05:35 PM,Bainbridge Island,197 Spaces,Tacoma,6/27/2026 1:23:05 PM
06:25 PM,Bainbridge Island,197 Spaces,Wenatchee,6/27/2026 1:23:05 PM
06:45 PM,Bremerton,139 Spaces,Kaleetan,6/27/2026 1:23:05 PM
07:20 PM,Bainbridge Island,197 Spaces,Tacoma,6/27/2026 1:23:05 PM
07:50 PM,Bremerton,141 Spaces,Chimacum,6/27/2026 1:23:05 PM
08:10 PM,Bainbridge Island,197 Spaces,Wenatchee,6/27/2026 1:23:05 PM
09:00 PM,Bainbridge Island,197 Spaces,Tacoma,6/27/2026 1:23:05 PM
09:05 PM,Bremerton,139 Spaces,Kaleetan,6/27/2026 1:23:05 PM
09:45 PM,Bainbridge Island,197 Spaces,Wenatchee,6/27/2026 1:23:05 PM
10:30 PM,Bremerton,141 Spaces,Chimacum,6/27/2026 1:23:05 PM
10:40 PM,Bainbridge Island,197 Spaces,Tacoma,6/27/2026 1:23:05 PM
11:15 PM,Bainbridge Island,197 Spaces,Wenatchee,6/27/2026 1:23:05 PM
