Depart,Destination,Drive-up,Vessel,timestamp
12:20 PM,Bremerton,130 Spaces,Chimacum,7/11/2026 11:38:11 AM
12:30 PM,Bainbridge Island,0 Spaces,Tacoma,7/11/2026 11:38:11 AM
01:15 PM,Bainbridge Island,135 Spaces,Wenatchee,7/11/2026 11:38:11 AM
01:30 PM,Bremerton,139 Spaces,Kaleetan,7/11/2026 11:38:11 AM
02:10 PM,Bainbridge Island,197 Spaces,Tacoma,7/11/2026 11:38:11 AM
02:50 PM,Bremerton,141 Spaces,Chimacum,7/11/2026 11:38:11 AM
03:05 PM,Bainbridge Island,197 Spaces,Wenatchee,7/11/2026 11:38:11 AM
03:50 PM,Bainbridge Island,197 Spaces,Tacoma,7/11/2026 11:38:11 AM
04:15 PM,Bremerton,139 Spaces,Kaleetan,7/11/2026 11:38:11 AM
04:45 PM,Bainbridge Island,197 Spaces,Wenatchee,7/11/2026 11:38:11 AM
05:30 PM,Bremerton,141 Spaces,Chimacum,7/11/2026 11:38:11 AM
05:35 PM,Bainbridge Island,197 Spaces,Tacoma,7/11/2026 11:38:11 AM
06:25 PM,Bainbridge Island,197 Spaces,Wenatchee,7/11/2026 11:38:11 AM
06:45 PM,Bremerton,139 Spaces,Kaleetan,7/11/2026 11:38:11 AM
07:20 PM,Bainbridge Island,197 Spaces,Tacoma,7/11/2026 11:38:11 AM
07:50 PM,Bremerton,141 Spaces,Chimacum,7/11/2026 11:38:11 AM
08:10 PM,Bainbridge Island,197 Spaces,Wenatchee,7/11/2026 11:38:11 AM
09:00 PM,Bainbridge Island,197 Spaces,Tacoma,7/11/2026 11:38:11 AM
09:05 PM,Bremerton,139 Spaces,Kaleetan,7/11/2026 11:38:11 AM
09:45 PM,Bainbridge Island,197 Spaces,Wenatchee,7/11/2026 11:38:11 AM
10:30 PM,Bremerton,141 Spaces,Chimacum,7/11/2026 11:38:11 AM
10:40 PM,Bainbridge Island,197 Spaces,Tacoma,7/11/2026 11:38:11 AM
11:15 PM,Bainbridge Island,197 Spaces,Wenatchee,7/11/2026 11:38:11 AM
