Depart,Destination,Drive-up,Vessel,timestamp
11:55 AM,Edmonds,38 Spaces,Spokane,1/31/2026 11:47:14 AM
12:45 PM,Edmonds,197 Spaces,Puyallup,1/31/2026 11:47:14 AM
01:30 PM,Edmonds,186 Spaces,Spokane,1/31/2026 11:47:14 AM
02:30 PM,Edmonds,197 Spaces,Puyallup,1/31/2026 11:47:14 AM
03:10 PM,Edmonds,186 Spaces,Spokane,1/31/2026 11:47:14 AM
04:00 PM,Edmonds,197 Spaces,Puyallup,1/31/2026 11:47:14 AM
04:40 PM,Edmonds,186 Spaces,Spokane,1/31/2026 11:47:14 AM
05:30 PM,Edmonds,197 Spaces,Puyallup,1/31/2026 11:47:14 AM
06:10 PM,Edmonds,186 Spaces,Spokane,1/31/2026 11:47:14 AM
07:00 PM,Edmonds,197 Spaces,Puyallup,1/31/2026 11:47:14 AM
07:45 PM,Edmonds,186 Spaces,Spokane,1/31/2026 11:47:14 AM
08:20 PM,Edmonds,197 Spaces,Puyallup,1/31/2026 11:47:14 AM
09:10 PM,Edmonds,186 Spaces,Spokane,1/31/2026 11:47:14 AM
09:40 PM,Edmonds,197 Spaces,Puyallup,1/31/2026 11:47:14 AM
11:10 PM,Edmonds,197 Spaces,Puyallup,1/31/2026 11:47:14 AM
