Depart,Destination,Drive-up,Vessel,timestamp
03:00 PM,Seattle,13 Spaces,Wenatchee,3/29/2026 3:03:41 PM
03:55 PM,Seattle,197 Spaces,Puyallup,3/29/2026 3:03:41 PM
04:40 PM,Seattle,197 Spaces,Wenatchee,3/29/2026 3:03:41 PM
05:35 PM,Seattle,197 Spaces,Puyallup,3/29/2026 3:03:41 PM
06:30 PM,Seattle,197 Spaces,Wenatchee,3/29/2026 3:03:41 PM
07:15 PM,Seattle,197 Spaces,Puyallup,3/29/2026 3:03:41 PM
08:10 PM,Seattle,197 Spaces,Wenatchee,3/29/2026 3:03:41 PM
08:55 PM,Seattle,197 Spaces,Puyallup,3/29/2026 3:03:41 PM
09:45 PM,Seattle,197 Spaces,Wenatchee,3/29/2026 3:03:41 PM
10:30 PM,Seattle,197 Spaces,Puyallup,3/29/2026 3:03:41 PM
