Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kittitas,Vashon,Southworth,00:15,00:16,00:27,06/28/2026,
Kittitas,Southworth,Fauntleroy,00:35,00:36,00:53,06/28/2026,
Kittitas,Fauntleroy,Vashon,01:05,01:10,01:25,06/28/2026,
Kittitas,Vashon,Southworth,01:30,01:30,01:41,06/28/2026,
Kittitas,Southworth,Vashon,04:20,04:20,04:32,06/28/2026,
Kittitas,Vashon,Fauntleroy,04:40,04:41,04:55,06/28/2026,
Kittitas,Fauntleroy,Vashon,05:10,05:11,05:24,06/28/2026,
Kittitas,Vashon,Southworth,05:35,05:35,05:47,06/28/2026,
Kittitas,Southworth,Vashon,05:55,05:55,06:08,06/28/2026,
Kittitas,Vashon,Fauntleroy,06:15,06:16,06:29,06/28/2026,
Kittitas,Fauntleroy,Vashon,06:45,06:46,06:59,06/28/2026,
Kittitas,Vashon,Southworth,07:10,07:10,07:22,06/28/2026,
Kittitas,Southworth,Vashon,07:30,07:30,07:42,06/28/2026,
Kittitas,Vashon,Fauntleroy,07:50,07:51,08:03,06/28/2026,
Kittitas,Fauntleroy,Vashon,08:20,08:22,08:35,06/28/2026,
Kittitas,Vashon,Southworth,08:50,08:50,09:01,06/28/2026,
Kittitas,Southworth,Vashon,09:15,09:16,09:28,06/28/2026,
Kittitas,Vashon,Fauntleroy,09:40,09:41,09:54,06/28/2026,
Kittitas,Fauntleroy,Vashon,10:15,10:17,10:30,06/28/2026,
Kittitas,Vashon,Southworth,10:40,10:41,10:52,06/28/2026,
Kittitas,Southworth,Vashon,11:00,11:02,11:14,06/28/2026,
Kittitas,Vashon,Fauntleroy,11:20,11:25,11:37,06/28/2026,
Kittitas,Fauntleroy,Southworth,11:50,11:52,12:14,06/28/2026,
Kittitas,Southworth,Vashon,12:20,12:27,12:39,06/28/2026,
Kittitas,Vashon,Fauntleroy,12:40,12:48,13:02,06/28/2026,
Kittitas,Fauntleroy,Vashon,13:15,13:16,13:30,06/28/2026,
Kittitas,Vashon,Fauntleroy,13:55,13:57,14:14,06/28/2026,
Kittitas,Fauntleroy,Vashon,14:30,14:32,14:45,06/28/2026,
Kittitas,Vashon,Southworth,14:55,14:55,15:04,06/28/2026,
Kittitas,Southworth,Vashon,15:15,15:16,15:29,06/28/2026,
Kittitas,Vashon,Fauntleroy,15:35,15:40,15:54,06/28/2026,
Kittitas,Fauntleroy,Vashon,16:05,16:10,16:25,06/28/2026,
Kittitas,Vashon,Southworth,16:35,16:35,16:45,06/28/2026,
Kittitas,Vashon,,17:35,17:30,00:00,06/28/2026,
Kittitas,Fauntleroy,Southworth,17:45,18:03,18:20,06/28/2026,
Kittitas,Southworth,Vashon,18:15,18:34,18:44,06/28/2026,
Kittitas,Vashon,Fauntleroy,18:35,18:48,19:01,06/28/2026,
Kittitas,Fauntleroy,Vashon,19:10,19:11,19:25,06/28/2026,
Kittitas,Vashon,Fauntleroy,19:40,19:41,19:56,06/28/2026,
Kittitas,Fauntleroy,Vashon,20:10,20:13,20:27,06/28/2026,
Kittitas,Vashon,Fauntleroy,20:40,20:46,21:01,06/28/2026,
Kittitas,Fauntleroy,Vashon,21:20,21:21,21:36,06/28/2026,
Kittitas,Vashon,Fauntleroy,21:55,21:56,22:10,06/28/2026,
Kittitas,Fauntleroy,Vashon,22:25,22:26,22:41,06/28/2026,
Kittitas,Vashon,Southworth,23:00,23:00,23:12,06/28/2026,
Kittitas,Southworth,Fauntleroy,23:20,23:20,23:38,06/28/2026,
Kittitas,Fauntleroy,Vashon,23:50,23:51,00:07,06/28/2026,
Kittitas,Vashon,Southworth,00:15,00:16,00:27,06/29/2026,
Kittitas,Southworth,Fauntleroy,00:35,00:35,00:53,06/29/2026,
Kittitas,Fauntleroy,Vashon,01:05,01:12,01:27,06/29/2026,
Kittitas,Vashon,Southworth,01:30,01:31,01:42,06/29/2026,
Kittitas,Southworth,Vashon,04:10,04:10,04:23,06/29/2026,
Kittitas,Vashon,Fauntleroy,04:30,04:31,04:44,06/29/2026,
Kittitas,Fauntleroy,Vashon,05:05,05:06,05:19,06/29/2026,
Kittitas,Vashon,Southworth,05:25,05:25,05:37,06/29/2026,
Kittitas,Southworth,Vashon,05:50,05:51,06:03,06/29/2026,
Kittitas,Vashon,Fauntleroy,06:10,06:10,06:23,06/29/2026,
Kittitas,Fauntleroy,Southworth,06:40,06:41,06:59,06/29/2026,
Kittitas,Southworth,Vashon,07:20,07:20,07:31,06/29/2026,
Kittitas,Vashon,Fauntleroy,07:40,07:41,07:54,06/29/2026,
Kittitas,Fauntleroy,Vashon,08:05,08:08,08:22,06/29/2026,
Kittitas,Vashon,Southworth,08:30,08:31,08:43,06/29/2026,
Kittitas,Southworth,Vashon,08:55,08:56,09:07,06/29/2026,
Kittitas,Vashon,Fauntleroy,09:15,09:16,09:38,06/29/2026,
Kittitas,Fauntleroy,Vashon,09:50,09:51,10:04,06/29/2026,
Kittitas,Vashon,Fauntleroy,10:15,10:16,10:29,06/29/2026,
Kittitas,Fauntleroy,Vashon,10:40,10:42,10:55,06/29/2026,
Kittitas,Fauntleroy,Vashon,11:30,11:32,11:46,06/29/2026,
Kittitas,Vashon,Southworth,11:55,11:56,12:06,06/29/2026,
Kittitas,Southworth,Vashon,12:15,12:22,12:34,06/29/2026,
