Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kitsap,Vashon,Fauntleroy,08:15,08:25,08:45,07/20/2026,
Kitsap,Fauntleroy,Southworth,08:45,08:52,09:20,07/20/2026,
Kitsap,Southworth,Vashon,09:20,09:28,09:46,07/20/2026,
Kitsap,Vashon,Southworth,10:35,10:53,11:04,07/20/2026,
Kitsap,Southworth,Vashon,11:00,11:19,11:30,07/20/2026,
Kitsap,Vashon,Fauntleroy,12:40,12:44,12:58,07/20/2026,
Kitsap,Fauntleroy,Vashon,13:15,13:12,13:26,07/20/2026,
Kitsap,Vashon,Fauntleroy,15:25,15:54,16:22,07/20/2026,
Kitsap,Fauntleroy,Vashon,15:30,15:25,15:38,07/20/2026,
Kitsap,Fauntleroy,Southworth,16:10,16:42,17:19,07/20/2026,
Kitsap,Southworth,Vashon,17:20,17:30,17:43,07/20/2026,
Kitsap,Vashon,Fauntleroy,17:45,17:57,18:12,07/20/2026,
Kitsap,Fauntleroy,Vashon,18:15,18:26,18:41,07/20/2026,
Kitsap,Vashon,Southworth,18:40,18:49,19:01,07/20/2026,
Kitsap,Vashon,Southworth,19:40,19:41,19:51,07/20/2026,
Kitsap,Southworth,Vashon,20:00,20:03,20:21,07/20/2026,
Kitsap,Vashon,Fauntleroy,20:20,20:32,20:46,07/20/2026,
Kitsap,Fauntleroy,Vashon,20:50,20:59,21:12,07/20/2026,
Kitsap,Vashon,Southworth,21:15,21:19,21:30,07/20/2026,
Kitsap,Vashon,Fauntleroy,05:40,05:44,05:59,07/21/2026,
Kitsap,Fauntleroy,Vashon,06:10,06:11,06:26,07/21/2026,
Kitsap,Vashon,Fauntleroy,06:35,06:36,06:51,07/21/2026,
Kitsap,Fauntleroy,Vashon,07:05,07:06,07:21,07/21/2026,
Kitsap,Vashon,Southworth,07:30,07:31,07:43,07/21/2026,
Kitsap,Southworth,Vashon,07:55,07:55,08:07,07/21/2026,
Kitsap,Vashon,Fauntleroy,08:15,08:16,08:42,07/21/2026,
Kitsap,Fauntleroy,Southworth,08:45,08:57,09:16,07/21/2026,
Kitsap,Southworth,Vashon,09:20,09:24,09:36,07/21/2026,
Kitsap,Vashon,Fauntleroy,09:40,09:45,09:59,07/21/2026,
Kitsap,Fauntleroy,Vashon,10:10,10:15,10:29,07/21/2026,
Kitsap,Vashon,Southworth,10:35,10:39,10:50,07/21/2026,
Kitsap,Southworth,Vashon,11:00,11:01,11:14,07/21/2026,
Kitsap,Vashon,Fauntleroy,11:20,11:22,11:43,07/21/2026,
Kitsap,Fauntleroy,Vashon,11:50,11:54,12:08,07/21/2026,
Kitsap,Vashon,Fauntleroy,12:20,12:21,12:35,07/21/2026,
Kitsap,Fauntleroy,Vashon,12:50,12:52,13:07,07/21/2026,
Kitsap,Vashon,Fauntleroy,14:15,14:24,14:39,07/21/2026,
Kitsap,Fauntleroy,Vashon,14:45,14:58,15:12,07/21/2026,
Kitsap,Vashon,Fauntleroy,15:25,15:28,15:46,07/21/2026,
