Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Yakima,Anacortes,Friday Harbor,04:05,04:41,05:50,06/05/2026,
Yakima,Friday Harbor,Lopez,05:40,06:12,06:45,06/05/2026,
Yakima,Lopez,Anacortes,06:25,06:59,07:44,06/05/2026,
Yakima,Anacortes,Orcas,07:30,08:09,09:03,06/05/2026,
Yakima,Orcas,Shaw,08:55,09:39,09:50,06/05/2026,
Yakima,Shaw,Anacortes,09:10,09:57,10:49,06/05/2026,
Yakima,Anacortes,Friday Harbor,04:05,04:13,05:19,06/06/2026,
Yakima,Lopez,Anacortes,06:25,06:43,07:27,06/06/2026,
Yakima,Anacortes,Orcas,07:30,07:47,08:40,06/06/2026,
Yakima,Orcas,Shaw,08:55,09:09,09:20,06/06/2026,
Yakima,Shaw,Anacortes,09:10,09:28,10:20,06/06/2026,
Yakima,Anacortes,Friday Harbor,10:30,10:49,11:59,06/06/2026,
Yakima,Friday Harbor,Anacortes,12:20,12:33,13:43,06/06/2026,
