Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Issaquah,Anacortes,,05:30,05:30,00:00,12/13/2025,
Issaquah,Orcas,,06:50,06:50,00:00,12/13/2025,
Issaquah,Shaw,,07:05,07:06,00:00,12/13/2025,
Issaquah,Lopez,,07:35,07:35,00:00,12/13/2025,
Issaquah,Anacortes,,08:40,08:40,00:00,12/13/2025,
Issaquah,Friday Harbor,Lopez,10:20,10:20,10:51,12/13/2025,
Issaquah,Lopez,Anacortes,10:55,11:00,11:40,12/13/2025,
Issaquah,Shaw,,12:55,13:14,00:00,12/13/2025,
Issaquah,Orcas,,13:30,13:50,00:00,12/13/2025,
Issaquah,Lopez,,14:00,14:20,00:00,12/13/2025,
