Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Yakima,Anacortes,Friday Harbor,04:05,04:13,05:19,06/06/2026,
Yakima,Lopez,Anacortes,06:25,06:43,07:27,06/06/2026,
Yakima,Anacortes,Orcas,07:30,07:47,08:40,06/06/2026,
Yakima,Orcas,Shaw,08:55,09:09,09:20,06/06/2026,
Yakima,Shaw,Anacortes,09:10,09:28,10:20,06/06/2026,
Yakima,Anacortes,Friday Harbor,10:30,10:49,11:59,06/06/2026,
Yakima,Friday Harbor,Anacortes,12:20,12:33,13:43,06/06/2026,
Yakima,Anacortes,Lopez,13:55,14:28,15:13,06/06/2026,
Yakima,Lopez,Anacortes,15:05,15:55,16:42,06/06/2026,
Yakima,Anacortes,Lopez,16:20,17:07,17:51,06/06/2026,
Yakima,Lopez,Friday Harbor,17:15,17:57,18:30,06/06/2026,
Yakima,Friday Harbor,Lopez,18:20,19:01,19:34,06/06/2026,
Yakima,Lopez,Anacortes,19:05,19:41,20:28,06/06/2026,
Yakima,Anacortes,Lopez,20:15,20:48,21:29,06/06/2026,
Yakima,Lopez,Friday Harbor,21:10,21:38,22:10,06/06/2026,
Yakima,Friday Harbor,Anacortes,22:05,22:23,23:33,06/06/2026,
