Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Suquamish,Mukilteo,Clinton,00:05,00:05,00:27,07/12/2026,
Suquamish,Clinton,Mukilteo,00:35,00:36,00:51,07/12/2026,
Suquamish,Mukilteo,Clinton,01:05,01:05,01:19,07/12/2026,
Suquamish,Clinton,Mukilteo,05:30,04:50,05:03,07/12/2026,
Suquamish,Mukilteo,Clinton,06:00,06:00,06:13,07/12/2026,
Suquamish,Clinton,Mukilteo,06:30,06:30,06:43,07/12/2026,
Suquamish,Mukilteo,Clinton,07:00,07:00,07:13,07/12/2026,
Suquamish,Clinton,Mukilteo,07:30,07:30,07:44,07/12/2026,
Suquamish,Mukilteo,Clinton,08:00,08:00,08:14,07/12/2026,
Suquamish,Clinton,Mukilteo,08:30,08:31,08:45,07/12/2026,
Suquamish,Mukilteo,Clinton,09:00,09:00,09:13,07/12/2026,
Suquamish,Clinton,Mukilteo,09:30,09:31,09:45,07/12/2026,
Suquamish,Mukilteo,Clinton,10:00,10:00,10:13,07/12/2026,
Suquamish,Clinton,Mukilteo,10:30,10:31,10:45,07/12/2026,
Suquamish,Mukilteo,Clinton,11:00,11:00,11:15,07/12/2026,
Suquamish,Clinton,Mukilteo,11:30,11:33,11:48,07/12/2026,
Suquamish,Mukilteo,Clinton,12:00,12:02,12:17,07/12/2026,
Suquamish,Clinton,Mukilteo,12:30,12:35,12:49,07/12/2026,
Suquamish,Mukilteo,Clinton,13:00,13:06,13:20,07/12/2026,
Suquamish,Clinton,Mukilteo,13:30,13:38,13:52,07/12/2026,
Suquamish,Mukilteo,Clinton,15:05,15:06,15:24,07/12/2026,
Suquamish,Clinton,Mukilteo,15:35,15:39,15:52,07/12/2026,
Suquamish,Mukilteo,Clinton,16:05,16:06,16:22,07/12/2026,
Suquamish,Clinton,Mukilteo,16:35,16:40,16:53,07/12/2026,
Suquamish,Mukilteo,Clinton,17:10,17:10,17:24,07/12/2026,
Suquamish,Clinton,Mukilteo,17:35,17:40,17:54,07/12/2026,
Suquamish,Mukilteo,Clinton,18:10,18:10,18:26,07/12/2026,
Suquamish,Clinton,Mukilteo,18:35,18:40,18:54,07/12/2026,
Suquamish,Mukilteo,Clinton,19:05,19:06,19:23,07/12/2026,
Suquamish,Clinton,Mukilteo,19:35,19:35,19:51,07/12/2026,
Suquamish,Mukilteo,Clinton,20:05,20:05,20:22,07/12/2026,
Suquamish,Clinton,Mukilteo,20:30,20:32,20:54,07/12/2026,
Suquamish,Mukilteo,Clinton,21:00,21:03,21:32,07/12/2026,
Suquamish,Clinton,Mukilteo,21:30,21:31,21:46,07/12/2026,
Suquamish,Mukilteo,Clinton,22:00,22:00,22:21,07/12/2026,
Suquamish,Clinton,Mukilteo,22:30,22:30,22:44,07/12/2026,
Suquamish,Mukilteo,Clinton,23:00,23:00,23:15,07/12/2026,
Suquamish,Clinton,Mukilteo,23:30,23:30,23:44,07/12/2026,
Suquamish,Mukilteo,Clinton,00:05,00:05,00:19,07/13/2026,
Suquamish,Clinton,Mukilteo,00:35,00:35,00:48,07/13/2026,
Suquamish,Mukilteo,Clinton,01:05,01:05,01:19,07/13/2026,
Suquamish,Clinton,Mukilteo,04:40,04:40,04:53,07/13/2026,
Suquamish,Mukilteo,Clinton,05:05,05:05,05:19,07/13/2026,
Suquamish,Clinton,Mukilteo,05:30,05:30,05:44,07/13/2026,
Suquamish,Mukilteo,Clinton,06:00,06:01,06:16,07/13/2026,
Suquamish,Clinton,Mukilteo,06:30,06:32,06:46,07/13/2026,
Suquamish,Mukilteo,Clinton,07:00,07:00,07:13,07/13/2026,
Suquamish,Clinton,Mukilteo,07:30,07:32,07:46,07/13/2026,
Suquamish,Mukilteo,Clinton,08:00,08:00,08:24,07/13/2026,
Suquamish,Clinton,Mukilteo,08:30,08:32,08:46,07/13/2026,
Suquamish,Mukilteo,Clinton,09:00,09:01,09:15,07/13/2026,
Suquamish,Clinton,Mukilteo,09:30,09:32,09:47,07/13/2026,
Suquamish,Mukilteo,Clinton,10:00,10:00,10:24,07/13/2026,
Suquamish,Clinton,Mukilteo,10:30,10:32,10:46,07/13/2026,
Suquamish,Mukilteo,Clinton,11:00,11:01,11:14,07/13/2026,
Suquamish,Clinton,Mukilteo,11:30,11:31,11:45,07/13/2026,
Suquamish,Mukilteo,Clinton,12:00,12:05,12:19,07/13/2026,
Suquamish,Clinton,Mukilteo,12:30,12:36,12:52,07/13/2026,
Suquamish,Mukilteo,Clinton,13:00,13:07,13:22,07/13/2026,
Suquamish,Clinton,Mukilteo,13:30,13:40,13:53,07/13/2026,
Suquamish,Mukilteo,Clinton,14:05,14:06,14:26,07/13/2026,
Suquamish,Clinton,Mukilteo,14:35,14:43,14:58,07/13/2026,
Suquamish,Mukilteo,Clinton,15:05,15:12,15:32,07/13/2026,
Suquamish,Clinton,Mukilteo,15:35,15:46,16:01,07/13/2026,
Suquamish,Mukilteo,Clinton,16:05,16:15,16:33,07/13/2026,
Suquamish,Clinton,Mukilteo,16:35,16:47,17:02,07/13/2026,
Suquamish,Mukilteo,Clinton,17:10,17:15,17:35,07/13/2026,
Suquamish,Clinton,Mukilteo,17:35,17:48,18:03,07/13/2026,
Suquamish,Mukilteo,Clinton,18:10,18:15,18:33,07/13/2026,
Suquamish,Clinton,Mukilteo,18:35,18:44,18:59,07/13/2026,
Suquamish,Mukilteo,Clinton,19:05,19:05,19:27,07/13/2026,
Suquamish,Clinton,Mukilteo,19:35,19:35,19:51,07/13/2026,
Suquamish,Mukilteo,Clinton,20:05,20:05,20:20,07/13/2026,
Suquamish,Clinton,Mukilteo,20:30,20:30,20:43,07/13/2026,
