Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Samish,Anacortes,Friday Harbor,04:00,04:00,05:08,07/31/2026,
Samish,Friday Harbor,Lopez,05:35,05:35,06:09,07/31/2026,
Samish,Lopez,Anacortes,06:15,06:22,07:09,07/31/2026,
Samish,Orcas,Shaw,08:50,09:20,09:31,07/31/2026,
Samish,Shaw,Anacortes,09:05,09:38,10:32,07/31/2026,
Samish,Anacortes,Shaw,10:30,11:15,12:07,07/31/2026,
Samish,Shaw,Orcas,11:30,12:14,12:24,07/31/2026,
Samish,Orcas,Shaw,12:15,13:03,13:13,07/31/2026,
Samish,Anacortes,Friday Harbor,14:00,15:17,16:24,07/31/2026,
Samish,Friday Harbor,Anacortes,15:50,17:15,18:31,07/31/2026,
Samish,Anacortes,Lopez,19:05,19:50,20:33,07/31/2026,
Samish,Shaw,Orcas,20:50,21:02,21:13,07/31/2026,
Samish,Orcas,Anacortes,21:25,21:35,22:35,07/31/2026,
