Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kittitas,Vashon,Southworth,00:15,00:17,00:28,06/27/2026,
Kittitas,Southworth,Fauntleroy,00:35,00:36,00:55,06/27/2026,
Kittitas,Fauntleroy,Vashon,01:05,01:09,01:25,06/27/2026,
Kittitas,Vashon,Southworth,01:30,01:30,01:41,06/27/2026,
Kittitas,Southworth,Vashon,04:20,04:20,04:33,06/27/2026,
Kittitas,Vashon,Fauntleroy,04:40,04:41,04:55,06/27/2026,
Kittitas,Fauntleroy,Vashon,05:10,05:10,05:24,06/27/2026,
Kittitas,Vashon,Southworth,05:35,05:35,05:48,06/27/2026,
Kittitas,Southworth,Vashon,05:55,05:56,06:09,06/27/2026,
Kittitas,Vashon,Fauntleroy,06:15,06:16,06:31,06/27/2026,
Kittitas,Fauntleroy,Vashon,06:45,06:46,07:00,06/27/2026,
Kittitas,Vashon,Southworth,07:10,07:11,07:22,06/27/2026,
Kittitas,Southworth,Vashon,07:30,07:30,07:43,06/27/2026,
Kittitas,Vashon,Fauntleroy,07:50,07:51,08:04,06/27/2026,
Kittitas,Fauntleroy,Vashon,08:20,08:23,08:37,06/27/2026,
Kittitas,Vashon,Southworth,08:50,08:51,09:02,06/27/2026,
Kittitas,Southworth,Vashon,09:15,09:17,09:29,06/27/2026,
Kittitas,Vashon,Fauntleroy,09:40,09:41,09:57,06/27/2026,
Kittitas,Fauntleroy,Vashon,10:15,10:17,10:30,06/27/2026,
Kittitas,Vashon,Southworth,10:40,10:41,10:53,06/27/2026,
Kittitas,Southworth,Vashon,11:00,11:03,11:16,06/27/2026,
Kittitas,Vashon,Fauntleroy,11:20,11:25,11:40,06/27/2026,
Kittitas,Fauntleroy,Southworth,11:50,11:56,12:14,06/27/2026,
Kittitas,Southworth,Vashon,12:20,12:28,12:41,06/27/2026,
Kittitas,Vashon,Fauntleroy,12:40,12:51,13:06,06/27/2026,
Kittitas,Fauntleroy,Vashon,13:15,13:20,13:33,06/27/2026,
Kittitas,Vashon,Fauntleroy,13:55,13:56,14:11,06/27/2026,
Kittitas,Fauntleroy,Vashon,14:30,14:31,14:44,06/27/2026,
Kittitas,Vashon,Southworth,14:55,14:56,15:06,06/27/2026,
Kittitas,Southworth,Vashon,15:15,15:17,15:27,06/27/2026,
Kittitas,Vashon,Fauntleroy,15:35,15:39,15:53,06/27/2026,
Kittitas,Fauntleroy,Vashon,16:05,16:10,16:24,06/27/2026,
Kittitas,Vashon,Southworth,16:35,16:35,16:45,06/27/2026,
Kittitas,Southworth,Fauntleroy,17:05,17:06,17:32,06/27/2026,
Kittitas,Fauntleroy,Southworth,17:45,17:46,18:05,06/27/2026,
Kittitas,Southworth,Vashon,18:15,18:17,18:27,06/27/2026,
Kittitas,Vashon,Fauntleroy,18:35,18:38,18:52,06/27/2026,
Kittitas,Fauntleroy,Vashon,19:10,19:11,19:25,06/27/2026,
Kittitas,Vashon,Fauntleroy,19:40,19:41,19:57,06/27/2026,
Kittitas,Fauntleroy,Vashon,20:10,20:11,20:25,06/27/2026,
Kittitas,Vashon,Fauntleroy,20:40,20:41,21:02,06/27/2026,
Kittitas,Fauntleroy,Vashon,21:20,21:22,21:37,06/27/2026,
Kittitas,Vashon,Fauntleroy,21:55,21:56,22:11,06/27/2026,
Kittitas,Fauntleroy,Vashon,22:25,22:26,22:41,06/27/2026,
Kittitas,Vashon,Southworth,23:00,23:00,23:11,06/27/2026,
Kittitas,Southworth,Fauntleroy,23:20,23:21,23:41,06/27/2026,
Kittitas,Fauntleroy,Vashon,23:50,23:52,00:07,06/27/2026,
Kittitas,Vashon,Southworth,00:15,00:16,00:27,06/28/2026,
Kittitas,Southworth,Fauntleroy,00:35,00:36,00:53,06/28/2026,
Kittitas,Fauntleroy,Vashon,01:05,01:10,01:25,06/28/2026,
Kittitas,Vashon,Southworth,01:30,01:30,01:41,06/28/2026,
Kittitas,Southworth,Vashon,04:20,04:20,04:32,06/28/2026,
Kittitas,Vashon,Fauntleroy,04:40,04:41,04:55,06/28/2026,
Kittitas,Fauntleroy,Vashon,05:10,05:11,05:24,06/28/2026,
Kittitas,Vashon,Southworth,05:35,05:35,05:47,06/28/2026,
Kittitas,Southworth,Vashon,05:55,05:55,06:08,06/28/2026,
Kittitas,Vashon,Fauntleroy,06:15,06:16,06:29,06/28/2026,
Kittitas,Fauntleroy,Vashon,06:45,06:46,06:59,06/28/2026,
Kittitas,Vashon,Southworth,07:10,07:10,07:22,06/28/2026,
Kittitas,Southworth,Vashon,07:30,07:30,07:42,06/28/2026,
Kittitas,Vashon,Fauntleroy,07:50,07:51,08:03,06/28/2026,
Kittitas,Fauntleroy,Vashon,08:20,08:22,08:35,06/28/2026,
Kittitas,Vashon,Southworth,08:50,08:50,09:01,06/28/2026,
Kittitas,Southworth,Vashon,09:15,09:16,09:28,06/28/2026,
Kittitas,Vashon,Fauntleroy,09:40,09:41,09:54,06/28/2026,
Kittitas,Fauntleroy,Vashon,10:15,10:17,10:30,06/28/2026,
Kittitas,Vashon,Southworth,10:40,10:41,10:52,06/28/2026,
Kittitas,Southworth,Vashon,11:00,11:02,11:14,06/28/2026,
Kittitas,Vashon,Fauntleroy,11:20,11:25,11:37,06/28/2026,
