Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kennewick,Port Townsend,Keystone,10:15,10:17,10:49,09/20/2026,
Kennewick,Keystone,Port Townsend,11:00,11:08,11:38,09/20/2026,
Kennewick,Port Townsend,Keystone,11:45,11:51,12:19,09/20/2026,
Kennewick,Keystone,Port Townsend,12:30,12:37,13:05,09/20/2026,
Kennewick,Port Townsend,Keystone,13:15,13:20,13:47,09/20/2026,
Kennewick,Keystone,Port Townsend,14:00,14:04,14:31,09/20/2026,
Kennewick,Port Townsend,Keystone,14:45,14:45,15:13,09/20/2026,
Kennewick,Keystone,Port Townsend,15:30,15:30,15:56,09/20/2026,
Kennewick,Port Townsend,Keystone,16:15,16:15,16:43,09/20/2026,
Kennewick,Keystone,Port Townsend,17:00,17:00,17:26,09/20/2026,
Kennewick,Port Townsend,Keystone,08:45,08:49,09:14,09/21/2026,
Kennewick,Keystone,Port Townsend,09:30,09:32,10:00,09/21/2026,
Kennewick,Port Townsend,Keystone,10:15,10:17,10:44,09/21/2026,
Kennewick,Keystone,Port Townsend,11:00,11:01,11:30,09/21/2026,
Kennewick,Port Townsend,Keystone,11:45,11:46,12:14,09/21/2026,
Kennewick,Keystone,Port Townsend,12:30,12:31,12:58,09/21/2026,
