Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kitsap,Mukilteo,Clinton,00:05,00:05,00:19,09/22/2026,
Kitsap,Clinton,Mukilteo,00:35,00:37,00:50,09/22/2026,
Kitsap,Mukilteo,Clinton,01:05,01:05,01:18,09/22/2026,
Kitsap,Clinton,Mukilteo,05:05,05:06,05:23,09/22/2026,
Kitsap,Mukilteo,Clinton,05:35,05:35,05:49,09/22/2026,
Kitsap,Clinton,Mukilteo,06:00,06:02,06:16,09/22/2026,
Kitsap,Mukilteo,Clinton,06:30,06:30,06:45,09/22/2026,
Kitsap,Clinton,Mukilteo,07:00,07:01,07:15,09/22/2026,
Kitsap,Mukilteo,Clinton,07:30,07:30,07:45,09/22/2026,
Kitsap,Clinton,Mukilteo,08:00,08:01,08:15,09/22/2026,
Kitsap,Mukilteo,Clinton,08:30,08:30,08:43,09/22/2026,
Kitsap,Clinton,Mukilteo,09:00,09:00,09:14,09/22/2026,
Kitsap,Mukilteo,Clinton,09:30,09:32,09:48,09/22/2026,
Kitsap,Clinton,Mukilteo,10:00,10:09,10:24,09/22/2026,
Kitsap,Mukilteo,Clinton,10:30,10:36,10:50,09/22/2026,
Kitsap,Clinton,Mukilteo,11:00,11:07,11:21,09/22/2026,
Kitsap,Mukilteo,Clinton,11:30,11:34,11:53,09/22/2026,
Kitsap,Clinton,Mukilteo,12:00,12:11,12:26,09/22/2026,
Kitsap,Mukilteo,Clinton,12:30,12:38,12:57,09/22/2026,
Kitsap,Clinton,Mukilteo,13:00,13:12,13:27,09/22/2026,
Kitsap,Mukilteo,Clinton,13:30,13:42,14:01,09/22/2026,
Kitsap,Clinton,Mukilteo,14:00,14:15,14:31,09/22/2026,
Kitsap,Mukilteo,Clinton,14:35,14:47,15:01,09/22/2026,
Kitsap,Clinton,Mukilteo,15:05,15:18,15:32,09/22/2026,
Kitsap,Mukilteo,Clinton,15:35,15:47,16:04,09/22/2026,
Kitsap,Clinton,Mukilteo,18:05,18:19,18:36,09/22/2026,
Kitsap,Mukilteo,Clinton,18:40,18:52,19:07,09/22/2026,
Kitsap,Clinton,Mukilteo,19:05,19:22,19:40,09/22/2026,
Kitsap,Mukilteo,Clinton,20:05,20:05,20:19,09/22/2026,
Kitsap,Clinton,Mukilteo,20:30,20:31,20:46,09/22/2026,
Kitsap,Mukilteo,Clinton,21:00,21:01,21:15,09/22/2026,
Kitsap,Clinton,Mukilteo,21:30,21:31,21:43,09/22/2026,
Kitsap,Mukilteo,Clinton,22:00,22:00,22:14,09/22/2026,
Kitsap,Clinton,Mukilteo,22:30,22:30,22:44,09/22/2026,
Kitsap,Mukilteo,Clinton,23:00,23:01,23:14,09/22/2026,
Kitsap,Clinton,Mukilteo,23:30,23:30,23:43,09/22/2026,
Kitsap,Mukilteo,Clinton,00:05,00:05,00:18,09/23/2026,
Kitsap,Clinton,Mukilteo,00:35,00:35,00:49,09/23/2026,
Kitsap,Mukilteo,Clinton,01:05,01:05,01:18,09/23/2026,
