Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tacoma,Bainbridge,Colman,04:45,04:46,05:19,05/04/2026,
Tacoma,Colman,Bainbridge,05:30,05:32,06:05,05/04/2026,
Tacoma,Bainbridge,Colman,06:20,06:21,06:53,05/04/2026,
Tacoma,Colman,Bainbridge,07:05,07:06,07:38,05/04/2026,
Tacoma,Bainbridge,Colman,07:55,07:56,08:28,05/04/2026,
Tacoma,Colman,Bainbridge,08:45,08:47,09:20,05/04/2026,
Tacoma,Bainbridge,Colman,09:40,09:42,10:13,05/04/2026,
Tacoma,Colman,Bainbridge,10:40,10:42,11:13,05/04/2026,
Tacoma,Bainbridge,Colman,11:30,11:31,12:04,05/04/2026,
Tacoma,Colman,Bainbridge,12:25,12:26,12:58,05/04/2026,
Tacoma,Bainbridge,Colman,13:15,13:17,13:49,05/04/2026,
Tacoma,Colman,Bainbridge,14:05,14:07,14:59,05/04/2026,
Tacoma,Bainbridge,Colman,14:55,14:59,15:32,05/04/2026,
Tacoma,Colman,Bainbridge,15:50,15:53,16:25,05/04/2026,
Tacoma,Bainbridge,Colman,16:45,16:46,17:18,05/04/2026,
Tacoma,Colman,Bainbridge,17:45,17:46,18:19,05/04/2026,
Tacoma,Bainbridge,Colman,18:40,18:42,19:15,05/04/2026,
Tacoma,Colman,Bainbridge,19:30,19:32,20:04,05/04/2026,
Tacoma,Bainbridge,Colman,20:20,20:21,20:52,05/04/2026,
Tacoma,Colman,Bainbridge,21:20,21:22,21:54,05/04/2026,
Tacoma,Bainbridge,Colman,22:00,22:08,22:40,05/04/2026,
Tacoma,Colman,Bainbridge,22:50,22:51,23:23,05/04/2026,
Tacoma,Bainbridge,Colman,23:30,23:33,00:05,05/04/2026,
Tacoma,Colman,Bainbridge,00:15,00:18,00:51,05/05/2026,
Tacoma,Bainbridge,Colman,00:55,00:57,01:29,05/05/2026,
Tacoma,Colman,Bainbridge,01:35,01:37,02:09,05/05/2026,
Tacoma,Bainbridge,Colman,04:45,04:46,05:18,05/05/2026,
Tacoma,Colman,Bainbridge,05:30,05:31,06:06,05/05/2026,
Tacoma,Bainbridge,Colman,06:20,06:21,06:54,05/05/2026,
Tacoma,Colman,Bainbridge,07:05,07:09,07:42,05/05/2026,
Tacoma,Bainbridge,Colman,07:55,07:59,08:32,05/05/2026,
Tacoma,Colman,Bainbridge,08:45,08:50,09:22,05/05/2026,
Tacoma,Bainbridge,Colman,09:40,09:41,10:14,05/05/2026,
Tacoma,Colman,Bainbridge,10:40,10:42,11:14,05/05/2026,
Tacoma,Bainbridge,Colman,11:30,11:32,12:02,05/05/2026,
Tacoma,Colman,Bainbridge,12:25,12:26,12:57,05/05/2026,
Tacoma,Bainbridge,Colman,13:15,13:15,13:48,05/05/2026,
Tacoma,Colman,Bainbridge,14:05,14:06,14:39,05/05/2026,
Tacoma,Bainbridge,Colman,14:55,14:56,15:28,05/05/2026,
